case_id,crime_id,case_status,investigation_days,fine_amount,court_status,case_priority
CASE000001,C000001,Solved,275,15329,Ongoing,High
CASE000002,C000002,Pending,29,74887,Ongoing,High
CASE000003,C000003,Solved,274,84340,Closed,Medium
CASE000004,C000004,Solved,127,85532,Hearing,Medium
CASE000005,C000005,Pending,239,30043,Hearing,Low
CASE000006,C000006,Solved,325,5308,Hearing,Low
CASE000007,C000007,Solved,247,10216,Ongoing,Low
CASE000008,C000008,Solved,130,71770,Ongoing,Low
CASE000009,C000009,Pending,101,52130,Closed,High
CASE000010,C000010,Under Investigation,131,46239,Ongoing,Medium
CASE000011,C000011,Solved,350,12951,Hearing,High
CASE000012,C000012,Under Investigation,258,52880,Hearing,Low
CASE000013,C000013,Pending,100,81534,Closed,High
CASE000014,C000014,Solved,70,42199,Hearing,Low
CASE000015,C000015,Solved,302,55958,Hearing,Medium
CASE000016,C000016,Solved,72,81459,Closed,Low
CASE000017,C000017,Solved,132,46682,Hearing,Medium
CASE000018,C000018,Solved,34,56057,Hearing,High
CASE000019,C000019,Pending,345,42396,Closed,Medium
CASE000020,C000020,Pending,60,39914,Hearing,High
CASE000021,C000021,Solved,84,33362,Ongoing,Medium
CASE000022,C000022,Under Investigation,9,67355,Closed,Low
CASE000023,C000023,Solved,129,50200,Closed,High
CASE000024,C000024,Solved,327,38555,Closed,Low
CASE000025,C000025,Pending,183,70280,Hearing,Low
CASE000026,C000026,Solved,46,18860,Closed,Medium
CASE000027,C000027,Solved,116,1896,Closed,Low
CASE000028,C000028,Under Investigation,133,61718,Hearing,Medium
CASE000029,C000029,Solved,363,27903,Ongoing,Low
CASE000030,C000030,Solved,321,6957,Hearing,Low
CASE000031,C000031,Solved,191,67992,Closed,High
CASE000032,C000032,Solved,110,30848,Hearing,Low
CASE000033,C000033,Pending,331,69299,Hearing,High
CASE000034,C000034,Solved,60,4207,Ongoing,Low
CASE000035,C000035,Pending,316,4432,Ongoing,Low
CASE000036,C000036,Solved,89,58830,Ongoing,Low
CASE000037,C000037,Solved,29,3081,Hearing,High
CASE000038,C000038,Solved,344,20040,Closed,Low
CASE000039,C000039,Pending,252,27781,Ongoing,High
CASE000040,C000040,Solved,73,75415,Closed,Medium
CASE000041,C000041,Under Investigation,200,45074,Closed,Low
CASE000042,C000042,Under Investigation,280,70934,Closed,Low
CASE000043,C000043,Solved,262,19350,Closed,Medium
CASE000044,C000044,Solved,213,15086,Hearing,High
CASE000045,C000045,Solved,316,12582,Ongoing,Medium
CASE000046,C000046,Solved,115,21398,Closed,Medium
CASE000047,C000047,Under Investigation,137,69589,Closed,Medium
CASE000048,C000048,Pending,298,47158,Ongoing,High
CASE000049,C000049,Solved,101,84967,Hearing,Low
CASE000050,C000050,Pending,339,25053,Ongoing,High
CASE000051,C000051,Solved,355,14636,Hearing,Low
CASE000052,C000052,Under Investigation,84,79490,Hearing,Low
CASE000053,C000053,Pending,348,54144,Ongoing,High
CASE000054,C000054,Pending,303,56051,Ongoing,Medium
CASE000055,C000055,Under Investigation,22,41263,Hearing,High
CASE000056,C000056,Pending,205,85932,Ongoing,High
CASE000057,C000057,Solved,99,80891,Closed,Low
CASE000058,C000058,Solved,207,58887,Hearing,Low
CASE000059,C000059,Solved,64,77688,Closed,Low
CASE000060,C000060,Solved,255,9757,Closed,Medium
CASE000061,C000061,Solved,111,22665,Hearing,Medium
CASE000062,C000062,Under Investigation,181,81777,Ongoing,Low
CASE000063,C000063,Solved,286,22369,Closed,Medium
CASE000064,C000064,Solved,222,36599,Ongoing,Low
CASE000065,C000065,Solved,228,92129,Closed,High
CASE000066,C000066,Solved,342,9368,Ongoing,Low
CASE000067,C000067,Under Investigation,240,38822,Hearing,Low
CASE000068,C000068,Pending,303,8853,Closed,Medium
CASE000069,C000069,Solved,32,63027,Hearing,Low
CASE000070,C000070,Solved,236,7320,Hearing,Medium
CASE000071,C000071,Solved,222,72406,Ongoing,Medium
CASE000072,C000072,Solved,75,81567,Ongoing,High
CASE000073,C000073,Pending,249,34786,Ongoing,High
CASE000074,C000074,Pending,177,16448,Closed,High
CASE000075,C000075,Under Investigation,229,20778,Ongoing,Medium
CASE000076,C000076,Pending,93,91669,Closed,Low
CASE000077,C000077,Solved,186,75526,Closed,Low
CASE000078,C000078,Pending,332,31522,Hearing,High
CASE000079,C000079,Pending,68,48875,Closed,Low
CASE000080,C000080,Solved,117,16777,Ongoing,Low
CASE000081,C000081,Solved,218,36956,Closed,Medium
CASE000082,C000082,Pending,298,32487,Ongoing,Low
CASE000083,C000083,Under Investigation,201,90094,Ongoing,High
CASE000084,C000084,Pending,197,18619,Ongoing,High
CASE000085,C000085,Solved,68,83902,Ongoing,Medium
CASE000086,C000086,Pending,76,97147,Ongoing,High
CASE000087,C000087,Under Investigation,79,76534,Ongoing,Low
CASE000088,C000088,Pending,355,34331,Hearing,Low
CASE000089,C000089,Solved,234,56427,Hearing,Low
CASE000090,C000090,Solved,250,22691,Hearing,Low
CASE000091,C000091,Solved,67,98923,Hearing,Low
CASE000092,C000092,Solved,234,29798,Hearing,High
CASE000093,C000093,Solved,201,95184,Hearing,Medium
CASE000094,C000094,Solved,131,95096,Hearing,Medium
CASE000095,C000095,Solved,254,65290,Closed,High
CASE000096,C000096,Solved,161,94723,Closed,Medium
CASE000097,C000097,Solved,11,61687,Closed,Medium
CASE000098,C000098,Pending,208,6301,Closed,Low
CASE000099,C000099,Solved,289,61506,Closed,Medium
CASE000100,C000100,Under Investigation,16,72320,Closed,High
CASE000101,C000101,Solved,322,63846,Closed,High
CASE000102,C000102,Under Investigation,360,1453,Closed,Low
CASE000103,C000103,Solved,355,1697,Ongoing,Medium
CASE000104,C000104,Solved,258,61547,Closed,High
CASE000105,C000105,Solved,68,77544,Ongoing,High
CASE000106,C000106,Solved,77,72244,Hearing,Low
CASE000107,C000107,Solved,104,58271,Hearing,High
CASE000108,C000108,Solved,161,71303,Hearing,High
CASE000109,C000109,Solved,76,65270,Closed,Low
CASE000110,C000110,Solved,60,70316,Hearing,Low
CASE000111,C000111,Solved,297,26794,Ongoing,High
CASE000112,C000112,Solved,34,94318,Hearing,Low
CASE000113,C000113,Under Investigation,86,26848,Ongoing,Medium
CASE000114,C000114,Solved,263,27363,Closed,Low
