crime_id,victim_id,location_id,station_id,crime_type,crime_date,crime_time,severity,weapon_used,loss_amount,arrest_made
C000001,V02996,L0185,S036,Kidnapping,2023-01-15,Evening,Low,Stick,11486,No
C000002,V01278,L0221,S055,Kidnapping,2025-02-24,Night,High,None,128275,Yes
C000003,V01144,L0104,S042,Assault,2023-04-17,Morning,Medium,Knife,175248,Yes
C000004,V00032,L0243,S006,Assault,2024-01-30,Evening,Low,Knife,471235,No
C000005,V03777,L0045,S005,Assault,2023-04-14,Evening,Low,Stick,50314,Yes
C000006,V00878,L0288,S066,Assault,2025-01-29,Morning,Low,Stick,26975,Yes
C000007,V00893,L0209,S046,Fraud,2024-06-18,Evening,Low,Knife,244251,Yes
C000008,V02261,L0173,S023,Theft,2025-12-05,Evening,Low,None,423930,Yes
C000009,V02975,L0132,S035,Burglary,2024-05-31,Night,Low,None,8293,Yes
C000010,V03640,L0150,S030,Fraud,2025-07-15,Evening,High,Gun,260744,No
C000011,V00302,L0163,S052,Burglary,2024-12-09,Morning,Low,Gun,19056,Yes
C000012,V03372,L0142,S014,Theft,2024-02-11,Afternoon,High,None,350931,Yes
C000013,V01260,L0289,S008,Robbery,2024-08-16,Morning,Medium,Gun,222625,Yes
C000014,V02695,L0287,S071,Theft,2025-04-15,Afternoon,Medium,None,46095,Yes
C000015,V03237,L0198,S028,Cyber Crime,2025-01-16,Morning,Low,None,350842,Yes
C000016,V03762,L0239,S012,Assault,2025-07-09,Morning,Low,None,291951,Yes
C000017,V00127,L0191,S033,Burglary,2023-01-29,Afternoon,High,None,188236,Yes
C000018,V03427,L0255,S058,Theft,2025-01-17,Night,Medium,Knife,458767,Yes
C000019,V03536,L0188,S066,Burglary,2025-01-03,Morning,Medium,None,420356,No
C000020,V03705,L0068,S005,Fraud,2025-01-22,Evening,High,Gun,176791,No
C000021,V03276,L0260,S071,Assault,2023-05-23,Morning,Medium,Knife,355826,No
C000022,V00110,L0067,S074,Theft,2023-07-24,Morning,Medium,Knife,349475,Yes
C000023,V02899,L0062,S012,Theft,2023-06-06,Afternoon,Medium,Stick,1608,Yes
